window_id,session_id,run_id,app_id,condition,capture_source,start_s,end_s,duration_s,status,has_packets,packet_count,total_ip_bytes,packets_per_second,ip_bytes_per_second,schema_v1_features_available,ip_size_mean,outbound_packet_fraction,iat_mean,tcp_packet_fraction,udp_packet_fraction
chrome_exploratory_run01_retry02_background_14,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,382.44286864899999,387.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_15,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,387.44286864899999,392.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_16,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,392.44286864899999,397.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_17,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,397.44286864899999,402.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_18,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,402.44286864899999,407.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_19,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,407.44286864899999,412.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_20,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,412.44286864899999,417.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_21,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,417.44286864899999,422.44286864899999,5,observed_nonempty,true,1,40,0.20000000000000001,8,true,40,0,0,1,0
chrome_exploratory_run01_retry02_background_22,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,422.44286864899999,427.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_23,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,427.44286864899999,432.44286864899999,5,observed_nonempty,true,21,5089,4.2000000000000002,1017.8,true,242.33333333333334,0.52380952380952384,0.0093209028244018548,1,0
